,sighted_timestamp,city,state,country,shape,duration_seconds,duration_mins,comments,date_posted,latitude,longitude
582,9/27/2012 15:32,holly springs,ga,us,cigar,240.0,4 minutes,Two rocket-like objects streaking across the daylight sky,10/30/2012,34.173888899999994,-84.50138890000001
583,9/27/2012 17:45,woodbridge,nj,us,unknown,30.0,<30 seconds,Mystery CONTRAILS ASSOCIATED with LOUD  SKY ROAR/RUMBLE,10/30/2012,40.5575,-74.285
584,9/27/2012 20:00,san jose,ca,us,fireball,180.0,3 minutes,3 fireball objects in San Jose/Campbell,10/30/2012,37.3394444,-121.8938889
585,9/27/2012 20:35,athens,oh,us,fireball,90.0,90 seconds,Close orange fiery object flying slow and low,11/19/2012,39.3291667,-82.1013889
586,9/27/2012 20:40,scotrun,pa,us,egg,480.0,8 minutes,There we 2 egg shape or bell shape orangy glowing objects. They hovered in close proximity travelling in multiple directions.,10/30/2012,41.0658333,-75.3202778
587,9/27/2012 21:15,cobb island,md,,flash,600.0,10 minutes,Strange lights&#44 low level jet fighter interceptors?  And a bright flash.,10/30/2012,38.258463,-76.843858
588,9/27/2012 21:15,grande prairie (canada),ab,ca,sphere,20.0,20 seconds,5 burning red colored spheres moving to east in north sky from grande prairie,10/30/2012,55.166667000000004,-118.8
589,9/27/2012 21:24,bellingham,wa,us,sphere,300.0,5 minutes,Brightly glowing sphere slowly hovered over Bellingham then ascended upwards into space.,10/30/2012,48.7597222,-122.48694440000001
590,9/27/2012 22:30,keokuk,ia,us,other,2.0,2 seconds,See thru small aircraft looking object&#44 flying slow and low with no noise or lights,11/19/2012,40.3972222,-91.38472220000001
591,9/27/2012 23:00,pace,fl,us,other,120.0,1-2 minutes,What I saw looked like a helicopter&#44 which also sounded like a helicopter.,10/30/2012,30.5991667,-87.16111109999999
592,9/27/2012 23:05,key west,fl,us,fireball,30.0,30 seconds,Big orange/yellow fireball traveling N to S over Atlantic&#44 many lights 3 persons saw-2 took Cellpics&#44the zoomed in 1 had shadow face,10/30/2012,24.555277800000002,-81.78277779999999
593,9/27/2012 23:45,holland,mi,us,triangle,300.0,5 minutes,A cluster of bright lights on what looked like a triangle plane but then proceeded to Hover above the tree tops  next to me.,10/30/2012,42.7875,-86.10888890000001
594,9/27/2013 00:00,kennewick,wa,us,changing,30.0,30 seconds,Drone/ufo in kennewick wa low to ground followed car side by side,9/30/2013,46.211388899999996,-119.13611110000001
595,9/27/2013 00:05,bowie,md,us,sphere,120.0,2 minutes,Single Orange Reddish sphere traveling in slow motion before disappearing,9/30/2013,39.006666700000004,-76.7794444
596,9/27/2013 00:05,bristol (uk/england),,gb,unknown,30.0,30 seconds,Constant white light over bristol (uk) with right angle returns,9/30/2013,51.45,-2.583333
597,9/27/2013 00:10,glen arbor,mi,us,,300.0,aprox 5 minutes,Appeared aprox NNW over lake michigan above North Manitou island. Initialy thought it was a metorite but it moved slowly(much to slow f,9/30/2013,44.8975,-85.98527779999999
